西元年,行業別,GDP代碼,電力消費_千度,GDP合計_連鎖實質_百萬元,電力密集度_千度per百萬元
2015,化學材料及肥料製造業,CJ,2726753245.4,389538.0,6999.9673
2016,化學材料及肥料製造業,CJ,2704655252.2999997,405880.0,6663.682
2017,化學材料及肥料製造業,CJ,2757619743.3,426477.0,6466.0456
2018,化學材料及肥料製造業,CJ,3220108838.4,439507.0,7326.6383
2019,化學材料及肥料製造業,CJ,3149622723.1,420956.0,7482.0711
2020,化學材料及肥料製造業,CJ,3117624620.6,433485.0,7192.0012
2021,化學材料及肥料製造業,CJ,3354983988.9,482711.0,6950.2953
2022,化學材料及肥料製造業,CJ,3019580713.2000003,428080.0,7053.7767
2023,化學材料及肥料製造業,CJ,2807238309.7260003,410362.0,6840.8827
2024,化學材料及肥料製造業,CJ,2848426923.98,436673.0,6523.0205
2025,化學材料及肥料製造業,CJ,2774815489.113,,
2015,基本金屬製造業,CP,1607550289.3000002,371134.0,4331.4552
2016,基本金屬製造業,CP,1635762592.1,435348.0,3757.3679
2017,基本金屬製造業,CP,1686631778.8,437236.0,3857.4861
2018,基本金屬製造業,CP,1940422766.9,437681.0,4433.4179
2019,基本金屬製造業,CP,1845627435.6000001,407714.0,4526.7698
2020,基本金屬製造業,CP,1824317837.5,411510.0,4433.2284
2021,基本金屬製造業,CP,1978882931.0,463653.0,4268.0257
2022,基本金屬製造業,CP,1815270811.5000002,401860.0,4517.1722
2023,基本金屬製造業,CP,1822049042.481,383844.0,4746.8478
2024,基本金屬製造業,CP,1840871749.842,381801.0,4821.5477
2025,基本金屬製造業,CP,1708025256.2120001,,
2015,塑膠製品製造業,CN,502022699.4,141784.0,3540.7571
2016,塑膠製品製造業,CN,506987735.20000005,145501.0,3484.4278
2017,塑膠製品製造業,CN,511190357.59999996,148441.0,3443.7275
2018,塑膠製品製造業,CN,537648229.5,153662.0,3498.9017
2019,塑膠製品製造業,CN,536277216.7,150636.0,3560.0867
2020,塑膠製品製造業,CN,544016042.0999999,151506.0,3590.7228
2021,塑膠製品製造業,CN,577609565.8000001,157986.0,3656.0807
2022,塑膠製品製造業,CN,537657483.1,156537.0,3434.699
2023,塑膠製品製造業,CN,451916525.876,150105.0,3010.6694
2024,塑膠製品製造業,CN,439338449.156,155194.0,2830.8984
2025,塑膠製品製造業,CN,426167937.08599997,,
2015,紙漿紙及紙製品製造業,CG,326942055.1,71637.0,4563.8714
2016,紙漿紙及紙製品製造業,CG,326340296.09999996,72944.0,4473.847
2017,紙漿紙及紙製品製造業,CG,339093835.6,73798.0,4594.8919
2018,紙漿紙及紙製品製造業,CG,361462283.6,75551.0,4784.3481
2019,紙漿紙及紙製品製造業,CG,358984262.3,74214.0,4837.1502
2020,紙漿紙及紙製品製造業,CG,363280901.4,75932.0,4784.2925
2021,紙漿紙及紙製品製造業,CG,372057274.4,76742.0,4848.1571
2022,紙漿紙及紙製品製造業,CG,352523020.7,68591.0,5139.4938
2023,紙漿紙及紙製品製造業,CG,346526463.5,67016.0,5170.802
2024,紙漿紙及紙製品製造業,CG,333898327.8,75788.0,4405.6886
2025,紙漿紙及紙製品製造業,CG,320273211.7,,
2015,紡織成衣及服飾品製造業,CC+CD,538408386.2,138832.0,3878.1289
2016,紡織成衣及服飾品製造業,CC+CD,513648956.2,137310.0,3740.7979
2017,紡織成衣及服飾品製造業,CC+CD,492370173.6,146327.0,3364.8621
2018,紡織成衣及服飾品製造業,CC+CD,616447577.9,146446.0,4209.3849
2019,紡織成衣及服飾品製造業,CC+CD,578798799.1,142277.0,4068.1122
2020,紡織成衣及服飾品製造業,CC+CD,478591443.90000004,128692.0,3718.8904
2021,紡織成衣及服飾品製造業,CC+CD,524039559.1,145430.0,3603.38
2022,紡織成衣及服飾品製造業,CC+CD,471796207.183,137729.0,3425.5401
2023,紡織成衣及服飾品製造業,CC+CD,393561448.81700003,115970.0,3393.6488
2024,紡織成衣及服飾品製造業,CC+CD,413437248.81,122682.0,3369.9911
2025,紡織成衣及服飾品製造業,CC+CD,367003058.929,,
2015,金屬製品製造業,CQ,703833376.0,323052.0,2178.6999
2016,金屬製品製造業,CQ,718043886.3,345981.0,2075.3853
2017,金屬製品製造業,CQ,751134067.8,365585.0,2054.6086
2018,金屬製品製造業,CQ,692747285.983,371872.0,1862.8649
2019,金屬製品製造業,CQ,663278352.054,354747.0,1869.7222
2020,金屬製品製造業,CQ,667860696.136,349033.0,1913.46
2021,金屬製品製造業,CQ,764524199.18,400391.0,1909.444
2022,金屬製品製造業,CQ,705367910.233,350712.0,2011.2454
2023,金屬製品製造業,CQ,587502398.607,326876.0,1797.325
2024,金屬製品製造業,CQ,634898996.841,329854.0,1924.7879
2025,金屬製品製造業,CQ,629175675.4469999,,
2015,電子產品及電力設備製造業,CR+CS+CT,4495224949.8,2495418.0,1801.3916
2016,電子產品及電力設備製造業,CR+CS+CT,4686965995.799999,2625041.0,1785.483
2017,電子產品及電力設備製造業,CR+CS+CT,4901982563.4,2844784.0,1723.1475
2018,電子產品及電力設備製造業,CR+CS+CT,5111848310.664,2972132.0,1719.9264
2019,電子產品及電力設備製造業,CR+CS+CT,5174233298.52,3185518.0,1624.2989
2020,電子產品及電力設備製造業,CR+CS+CT,5567435587.347,3785087.0,1470.8871
2021,電子產品及電力設備製造業,CR+CS+CT,6007255634.196,4545037.0,1321.7177
2022,電子產品及電力設備製造業,CR+CS+CT,6210782800.034,4854982.0,1279.2597
2023,電子產品及電力設備製造業,CR+CS+CT,6320888530.535,4423219.0,1429.0245
2024,電子產品及電力設備製造業,CR+CS+CT,6595305545.952,5114653.0,1289.4923
2025,電子產品及電力設備製造業,CR+CS+CT,6959144908.71,,
2015,非金屬礦物製品製造業,CO,556087621.1,134748.0,4126.8711
2016,非金屬礦物製品製造業,CO,533574319.0,131354.0,4062.1094
2017,非金屬礦物製品製造業,CO,534559591.6,131316.0,4070.788
2018,非金屬礦物製品製造業,CO,576329553.9,130702.0,4409.493
2019,非金屬礦物製品製造業,CO,575280208.8000001,121924.0,4718.3508
2020,非金屬礦物製品製造業,CO,575585084.1999999,120746.0,4766.9081
2021,非金屬礦物製品製造業,CO,582043286.619,125575.0,4635.0252
2022,非金屬礦物製品製造業,CO,557001619.087,112584.0,4947.4314
2023,非金屬礦物製品製造業,CO,532823798.95899993,98937.0,5385.4857
2024,非金屬礦物製品製造業,CO,547943765.656,101258.0,5411.3627
2025,非金屬礦物製品製造業,CO,549510808.143,,
