年度,尖峰負載(MW),備用容量率(％)
1982,6918,26.8
1983,7808,29.2
1984,8517,22.1
1985,8716,55.1
1986,9900,48.3
1987,11113,35
1988,12331,21.7
1989,13422,14
1990,14511,7.4
1991,15321,4.8
1992,16704,6.7
1993,17666,4.2
1994,18610,4.8
1995,19933,4.7
1996,21762,5.6
1997,22237,11
1998,23830,7.7
1999,24206,12.5
2000,25854,12.6
2001,26290,13.2
2002,27117,16
2003,28594,14.6
2004,29034,20.2
2005,30943,16.3
2006,32060,16.1
2007,32791,16.2
2008,31320,21.1
2009,31011,28.1
2010,33023,23.4
2011,33787,20.6
2012,33081,22.7
2013,33957,17.5
2014,34821,14.7
2015,35248,11.5
2016,35864,10.4
2017,36259,9.8
2018,37057,10
2019,37067,16.8
2020,37715,16.4
2021,38607,13.5
2022,40593,12.2
2023,39489,14.7
2024,40882,11.0
2025,-,14.2